n	lnTxt	etiquetado	nbSyl	met	metNoExtra	lnTyp	match
dario	En medio del abismo de la duda	En medio del abismo de la duda	11	2 6 10	2 6 10	Endecasílabo heroico puro	1.0
dario	lleno de oscuridad, de sombra vana	lleno de oscuridad, de sombra vana	11	1 6 8 10	1 6 8 10	Endecasílabo enfático pleno	1.0
dario	hay una estrella que reflejos mana	hay una   estrella que reflejos mana	11	1 4 8 10	1 4 8 10	Endecasílabo sáfico puro pleno	1.0
dario	sublime, sí, mas silenciosa, muda.	sublime, sí, mas silenciosa, muda.	11	2 4 8 10	2 4 8 10	Endecasílabo sáfico largo pleno	1.0
dario	Ella, con su fulgor divino, escuda,	Ella, con su fulgor divino, escuda,	11	1 6 8 10	1 6 8 10	Endecasílabo enfático pleno	1.0
dario	alienta y guía a la conciencia humana,	alienta y g##í   a la conciencia humana	11	2 4 8 10	2 4 8 10	Endecasílabo sáfico largo pleno	1.0
dario	cuando el genio del mal con furia insana	cuando el genio del mal con furia insana	11	3 6 8 10	3 6 8 10	Endecasílabo melódico largo	1.0
dario	golpéala feroz, con mano ruda.	golpéala feroz, con mano ruda.	11	2 6 8 10	2 6 8 10	Endecasílabo heroico largo	1.0
dario	¿Esa estrella brotó del germen puro	¿Esa estrella brotó del germen puro	11	1 3 6 8 10	1 3 6 8 10	Endecasílabo melódico pleno	1.0
dario	de la humana creación? ¿Bajó del cielo	de la humana cración bajó del cielo	11	3 6 8 10	3 6 8 10	Endecasílabo melódico largo	1.0
dario	a iluminar el porvenir oscuro?	a iluminar el porvenir oscuro?	11	4 8 10	4 8 10	Endecasílabo sáfico puro	1.0
dario	¿A servir al que llora de consuelo?	¿A servir al que llora de consuelo?	11	3 6 10	3 6 10	Endecasílabo melódico puro	1.0
dario	No sé, mas eso que a nuestra alma inflama	No sé, mas eso que a nuestra alma inflama	11	1 2 4 8 10	1 4 8 10	Endecasílabo sáfico puro pleno	0.9
dario	ya sabéis, ya sabéis, la Fe se llama.	ya sabéis, ya sabéis, la Fe se llama.	11	1 3 4 6 8 10	1 3 6 8 10	Endecasílabo melódico pleno	0.9
dario	Porque cantáis la eterna Marsellesa	Porque cantáis la eterna Marsellesa	11	4 6 10	4 6 10	Endecasílabo sáfico corto	1.0
dario	que maldice el poder de los tiranos;	que maldice el poder de los tiranos;	11	3 6 10	3 6 10	Endecasílabo melódico puro	1.0
dario	porque alzáis ardorosos en las manos	porque alzáis ardorosos en las manos	11	3 6 10	3 6 10	Endecasílabo melódico puro	1.0
dario	el pendón de la luz con entereza;	el pendón de la luz con entereza;	11	3 6 10	3 6 10	Endecasílabo melódico puro	1.0
dario	porque deseáis que caiga la cabeza	porque desáis que caiga la cabeza	11	4 6 10	4 6 10	Endecasílabo sáfico corto	1.0
dario	de la hidra aristocrática, y ufanos	de la hidra aristocrática y   ufanos	11	2 6 10	2 6 10	Endecasílabo heroico puro	1.0
dario	dais al pueblo principios soberanos,	dais al pueblo principios soberanos,	11	1 3 6 10	1 3 6 10	Endecasílabo melódico corto	1.0
dario	que destruyen del mal la niebla espesa;	que destruyen del mal la niebla espesa;	11	3 6 8 10	3 6 8 10	Endecasílabo melódico largo	1.0
dario	porque gritáis que es libre el pensamiento;	porque gritáis que es libre el pensamiento;	11	4 5 6 10	4 6 10	Endecasílabo sáfico corto	0.9
dario	que no tiene cadenas la conciencia,	que no tiene cadenas la conciencia,	11	2 3 6 10	2 6 10	Endecasílabo heroico puro	0.9
dario	y proclamáis con fuerza y ardimiento	y proclamáis con fuerza y   ardimiento	11	4 6 10	4 6 10	Endecasílabo sáfico corto	1.0
dario	que hoy impera nomás la inteligencia;	que hoy   impera nomás la inteligencia	11	1 3 6 10	1 3 6 10	Endecasílabo melódico corto	1.0
dario	la muchedumbre criminal y necia,	la muchedumbre criminal y necia,	11	4 8 10	4 8 10	Endecasílabo sáfico puro	1.0
dario	os escupe, y os odia, y os desprecia.	os escupe y   os odia y   os desprecia	11	3 6 10	3 6 10	Endecasílabo melódico puro	1.0
dario	Y porque sois soldados de la idea;	Y porque sois soldados de la idea;	11	4 6 10	4 6 10	Endecasílabo sáfico corto	1.0
dario	porque rompéis la tiara y la corona,	porque rompéis la tiara y la corona,	11	4 6 10	4 6 10	Endecasílabo sáfico corto	1.0
dario	y vuestra voz la libertad pregona;	y vuestra voz la libertad pregona;	11	4 8 10	4 8 10	Endecasílabo sáfico puro	1.0
dario	la libertad que irradia y centellea;	la libertad que irradia y centellea;	11	4 6 10	4 6 10	Endecasílabo sáfico corto	1.0
dario	porque deseáis que el Universo vea	porque desáis que el universo vea	11	4 8 10	4 8 10	Endecasílabo sáfico puro	1.0
dario	cómo una catedral se desmorona	cómo una catedral se desmorona	11	1 2 6 10	2 6 10	Endecasílabo heroico puro	0.9
dario	al son del himno que la voz entona	al son del himno que la voz entona	11	2 4 8 10	2 4 8 10	Endecasílabo sáfico largo pleno	1.0
dario	del genio de la luz que vida crea;	del genio de la luz que vida crea;	11	2 6 8 10	2 6 8 10	Endecasílabo heroico largo	1.0
dario	porque las tablas de la ley del hombre	porque las tablas de la ley del hombre	11	4 8 10	4 8 10	Endecasílabo sáfico puro	1.0
dario	mostráis al mundo llenas de verdades,	mostráis al mundo llenas de verdades,	11	2 4 6 10	2 4 6 10	Endecasílabo heroico corto	1.0
dario	y de la democracia el sacro nombre	y de la democracia el sacro nombre	11	6 8 10	6 8 10	Endecasílabo vacío pleno tipo 1	1.0
dario	escribís en la faz de estas edades,	escribís en la faz de estas edades,	11	3 6 7 10	3 6 10	Endecasílabo melódico puro	0.9
dario	tendréis mil bendiciones en la historia	tendréis mil bendiciones en la historia	11	2 3 6 10	2 6 10	Endecasílabo heroico puro	0.9
dario	y una palma en el templo de la gloria.	y una palma en el templo de la gloria.	11	1 3 6 10	1 3 6 10	Endecasílabo melódico corto	1.0
dario	Al contemplarte augusta, te venero,	Al contemplarte augusta, te venero,	11	4 6 10	4 6 10	Endecasílabo sáfico corto	1.0
dario	al ver tu luz, mi corazón se inflama,	al ver tu luz, mi corazón se inflama,	11	2 4 8 10	2 4 8 10	Endecasílabo sáfico largo pleno	1.0
dario	pues al fulgor de tu radiosa llama,	pues al fulgor de tu radiosa llama,	11	4 8 10	4 8 10	Endecasílabo sáfico puro	1.0
dario	se estremece la faz del mundo entero.	se estremece la faz del mundo entero.	11	3 6 8 10	3 6 8 10	Endecasílabo melódico largo	1.0
dario	Cayó la fe con su terrible fuero.	Cayó la fe con su terrible fuero.	11	2 4 8 10	2 4 8 10	Endecasílabo sáfico largo pleno	1.0
dario	Ya tu voz por doquiera se derrama;	Ya tu voz por doquiera se derrama;	11	1 3 6 10	1 3 6 10	Endecasílabo melódico corto	1.0
dario	se hunden Cristo, Vichnú, Budha y Brahama,	se hunden Cristo, Vichnú, Budha y Brahama,	11	1 3 6 7 10	1 3 6 10	Endecasílabo melódico corto	0.9
dario	y las naciones van por tu sendero.	y las naciones van por tu sendero.	11	4 6 10	4 6 10	Endecasílabo sáfico corto	1.0
dario	A tu poder gigante y soberano	A tu poder gigante y soberano	11	4 6 10	4 6 10	Endecasílabo sáfico corto	1.0
dario	que el Orbe en otro tiempo no admirara,	que el Orbe en otro tiempo no admirara,	11	2 4 6 8 10	2 4 6 8 10	Endecasílabo heroico pleno	1.0
dario	contra el altar del Sacro Vaticano	contra el altar del Sacro Vaticano	11	4 6 10	4 6 10	Endecasílabo sáfico corto	1.0
dario	el Papa quiebra con dolor su tiara;	el Papa quiebra con dolor su tiara;	11	2 4 8 10	2 4 8 10	Endecasílabo sáfico largo pleno	1.0
dario	y aterido y helado, cual la escarcha,	y aterido y   helado cual la escarcha	11	3 6 10	3 6 10	Endecasílabo melódico puro	1.0
dario	grita con Pelletán: “El mundo marcha”.	grita con Pelletán: “El mundo marcha”.	11	1 6 8 10	1 6 8 10	Endecasílabo enfático pleno	1.0
dario	Moisés: “La mano del Eterno, un día,	Moisés: “La mano del Eterno, un día,	11	2 4 8 9 10	2 4 8 10	Endecasílabo sáfico largo pleno	0.9
dario	los orbes creó con poderoso aliento.”	los orbes cr#ó con poderoso aliento	11	2 4 8 10	2 4 8 10	Endecasílabo sáfico largo pleno	1.0
dario	Laplace: “Mentira! Que este gran portento,	Laplace: “Mentira! Que este gran portento,	12	2 5 7 9 11	-	Dodecasílabo	1.0
dario	del condensado cosmos nacería.”	del condensado cosmos nacería.”	11	4 6 10	4 6 10	Endecasílabo sáfico corto	1.0
dario	Josué: Tan sólo a la palabra mía,	Josué: Tan sólo a la palabra mía,	11	2 4 8 10	2 4 8 10	Endecasílabo sáfico largo pleno	1.0
dario	detuvo el sol su paso turbulento.”	detuvo el sol su paso turbulento.”	11	2 4 6 10	2 4 6 10	Endecasílabo heroico corto	1.0
dario	Galileo: “No tiene movimiento.”	Galileo: “No tiene movimiento.”	11	3 5 6 10	3 6 10	Endecasílabo melódico puro	0.9
dario	Yo: “Mentía Moisés! Josué mentía.”	Yo: “Mentía Moisés! Josué mentía.”	11	1 3 6 8 10	1 3 6 8 10	Endecasílabo melódico pleno	1.0
dario	¿Qué confusión es esta? Lucha eterna	¿Qué confusión es esta? Lucha eterna	11	1 4 5 6 8 10	1 4 6 8 10	Endecasílabo sáfico pleno	0.9
dario	se entabla entre el pasado y el presente.	se entabla entre el pasado y   el presente	11	2 6 10	2 6 10	Endecasílabo heroico puro	1.0
dario	Humilde aquél, ante este se prosterna…	Humilde aquél, ante este se prosterna…	13	2 4 7 12	-	Tridecasílabo	1.0
dario	Este sucumbe miserablemente…	Este sucumbe miserablemente…	12	1 4 11	-	Dodecasílabo	1.0
dario	¡Por fin el dogma expira ante la ciencia!	¡Por fin el dogma expira ante la ciencia!	11	2 4 6 10	2 4 6 10	Endecasílabo heroico corto	1.0
dario	¿Quién vencerá? Responda la conciencia.	¿Quién vencerá? Responda la conciencia.	11	1 4 6 10	1 4 6 10	Endecasílabo sáfico corto pleno	1.0
dario	Águila audaz del mundo americano,	Águila audaz del mundo americano,	11	1 4 6 10	1 4 6 10	Endecasílabo sáfico corto pleno	1.0
dario	que hoy te remontas presurosa al cielo;	que hoy te remontas presurosa al cielo;	11	1 4 8 10	1 4 8 10	Endecasílabo sáfico puro pleno	1.0
dario	que predicaste con heroico anhelo	que predicaste con heroico anhelo	11	4 8 10	4 8 10	Endecasílabo sáfico puro	1.0
dario	el amor a la luz,  odio al tirano.	el amor a la luz,  odio al tirano.	11	3 6 7 10	3 6 10	Endecasílabo melódico puro	0.9
dario	Hoy te contempla el pensamiento humano	Hoy te contempla el pensamiento humano	11	1 4 8 10	1 4 8 10	Endecasílabo sáfico puro pleno	1.0
dario	de tu vida al rasgarse el tenue velo,	de tu vida al rasgarse el tenue velo,	11	3 6 8 10	3 6 8 10	Endecasílabo melódico largo	1.0
dario	y te leva cantares desde el suelo,	y te leva cantares desde el suelo,	11	3 6 10	3 6 10	Endecasílabo melódico puro	1.0
dario	como a gran liberal republicano.	como a gran liberal republicano.	11	3 6 10	3 6 10	Endecasílabo melódico puro	1.0
dario	La idea que llevaste en la conciencia,	La idea que llevaste en la conciencia, 	11	2 6 10	2 6 10	Endecasílabo heroico puro	1.0
dario	centellea del Eterno desprendida,	centell#a del eterno desprendida	11	2 6 10	2 6 10	Endecasílabo heroico puro	1.0
dario	ilumina la mísera existencia	ilumina la mísera existencia	11	3 6 10	3 6 10	Endecasílabo melódico puro	1.0
dario	de nuestra patria aún tan dividida;	de nuestra patria aún tan dividida;	11	4 6 10	4 6 10	Endecasílabo sáfico corto	1.0
dario	¡y en el augusto templo de la Historia	¡y en el augusto templo de la Historia	11	4 6 10	4 6 10	Endecasílabo sáfico corto	1.0
dario	ciñe tu frente el lauro de la gloria!	ciñe tu frente el lauro de la gloria!	11	1 4 6 10	1 4 6 10	Endecasílabo sáfico corto pleno	1.0
dario	Mi non polida pénnola desdora	Mi non polida pénnola desdora			11	2 4 6 10	2 4 6 10	Endecasílabo heroico corto	1.0
dario	aqueste libro con poner un canto	aqueste libro con poner un canto			11	2 4 8 9 10	2 4 8 10	Endecasílabo sáfico largo pleno	0.9
dario	en las sus fojas, que me inspiran tanto	en las sus fojas, que me inspiran tanto			11	4 8 10	4 8 10	Endecasílabo sáfico puro	1.0
dario	que facen agitar mi plectro agora.	que facen agitar mi plectro agora.	11	2 6 8 10	2 6 8 10	Endecasílabo heroico largo	1.0
dario	Nin la fermosa cara de la aurora,	Nin la fermosa cara de la aurora,			11	1 4 6 10	1 4 6 10	Endecasílabo sáfico corto pleno	1.0
dario	nin de la noche el estrellado manto,	nin de la noche el estrellado manto,			11	1 4 8 10	1 4 8 10	Endecasílabo sáfico puro pleno	1.0
dario	nin el milagro de cualquiera santo,	nin el milagro de cualquiera santo,			11	1 4 8 10	1 4 8 10	Endecasílabo sáfico puro pleno	1.0
dario	belleza como él non atesora.	belleza como   él non atesora	11	2 6 7 10	2 6 10	Endecasílabo heroico puro	0.9
dario	Ca magüer es verdad que es non polida	ca mager es verdad que es non polida	11	1 3 4 6 7 8 10	1 3 6 8 10	Endecasílabo melódico pleno	0.8
dario	la mi pennola ruda e homildosa,	la mi pennola ruda e   homildosa	11	4 6 10	4 6 10	Endecasílabo sáfico corto	1.0
dario	yo tanto entro del pecho, aquí encendida,	yo tanto entro del pecho, aquí encendida,		11	1 2 3 6 8 10	1 3 6 8 10	Endecasílabo melódico pleno	0.9
dario	la foguera del bardo tan fermosa.	la foguera del bardo tan fermosa.			11	3 6 10	3 6 10	Endecasílabo melódico puro	1.0
dario	Por ende pongo aquí, magüer mal fecho,	por ende pongo aquí mager mal fecho	11	2 4 6 8 9 10	2 4 6 8 10	Endecasílabo heroico pleno	0.9
dario	aquesta trova, rosa de mi pecho.	aquesta trova, rosa de mi pecho.	11	2 4 6 10	2 4 6 10	Endecasílabo heroico corto	1.0
dario	Bien arreglado, bien impreso, bueno,	Bien arreglado, bien impreso, bueno,	11	1 4 6 8 10	1 4 6 8 10	Endecasílabo sáfico pleno	1.0
dario	maldice a Tamerlán, canta a Bolívar;	maldice a Tamerlán, canta a Bolívar;	11	2 6 7 10	2 6 10	Endecasílabo heroico puro	0.9
dario	al que está bien con él, le brinda almíbar;	al que está bien con él, le brinda almíbar;	11	3 4 6 8 10	3 6 8 10	Endecasílabo melódico largo	0.9
dario	al que está mal con él, le da veneno.	al que está mal con él, le da veneno.	11	3 4 6 8 10	3 6 8 10	Endecasílabo melódico largo	0.9
