title	lnbr	line	enca_position	enca_type	rule_ids
disco010t_0182_annot	1	{Entre P} {las D} {manos N} {de P} {mi D} {madre N} {anciana G}	O	""	""
disco010t_0182_annot	2	{la D} {cabellera N} {de P} {su D} {nieto N} {brilla N} {, O}	O	""	""
disco010t_0182_annot	3	{y C} {es V} {puñado N} {de P} {trigo N} {, O} {áurea N} {gavilla G} {, O}	O	""	""
disco010t_0182_annot	4	{oro N} {de P} {sol N} {robado G} {a P} {la D} {mañana N} {. O}	O	""	""
disco010t_0182_annot	5	{Luce V} {mi D} {madre N} {en P} {tanto A} {- O} {espuma N} {vana G}	B	"oracional"	"cp01"
disco010t_0182_annot	6	{que Q} {la D} {ola N} {del P} {tiempo N} {echó V} {a P} {la D} {orilla N} {- O}	I	"oracional"	"cp01"
disco010t_0182_annot	7	{a P} {modo N} {de P} {una D} {hostia N} {sin P} {mancilla N} {, O}	O	""	""
disco010t_0182_annot	8	{su D} {relumbrante G} {cabellera N} {cana G}	O	""	""
disco010t_0182_annot	9	{Grupo R} {de P} {plata N} {y C} {oro N} {que Q} {en P} {derroches N}	B	"enlace_subj_verb"	"ld01"
disco010t_0182_annot	10	{cubren V} {mi D} {corazón N} {de P} {regocijo N}	I	"enlace_subj_verb"	"ld01"
disco010t_0182_annot	11	{No A} {importa V} {nada Q} {que C} {el D} {rencor N} {me Q} {ladre N} {, O}	O	""	""
disco010t_0182_annot	12	{porque C} {para P} {mis D} {días N} {y C} {mis D} {noches N} {, O}	O	""	""
disco010t_0182_annot	13	{tengo V} {el D} {sol N} {en P} {los D} {bucles N} {de P} {mi D} {hijo N}	O	""	""
disco010t_0182_annot	14	{y C} {la D} {luna N} {en P} {las D} {canas N} {de P} {mi D} {madre N} {. O}	O	""	""
disco010t_0183_annot	1	{Era V} {una D} {reina N} {hispana G} {No A} {sé V} {ni C} {quien Q} {sería V} {, O}	O	""	""
disco010t_0183_annot	2	{ni C} {cual Q} {su D} {egregio N} {nombre N} {, O} {ni C} {como C} {su D} {linaje N} {: O}	O	""	""
disco010t_0183_annot	3	{sé V} {apenas A} {la D} {elegancia N} {con P} {que Q} {de P} {su D} {carruaje N}	O	""	""
disco010t_0183_annot	4	{saltó V} {, O} {al P} {oír V} {a P} {un D} {niño N} {que Q} {en P} {un D} {rincón N} {gemía V} {. O}	O	""	""
disco010t_0183_annot	5	{Y C} {dijo V} {: O} {- O} {¿ O} {Por P} {qué Q} {llora V} {? O} {- O} {La D} {tarde N} {estaba V} {fría G} {; O}	O	""	""
disco010t_0183_annot	6	{y C} {el D} {niño N} {estaba V} {hambriento G} {La D} {reina N} {abrióse V} {el D} {traje N} {; O}	O	""	""
disco010t_0183_annot	7	{y C} {le Q} {dio V} {el D} {seno N} {blanco G} {por P} {entre P} {el D} {blanco N} {encaje N} {, O}	O	""	""
disco010t_0183_annot	8	{como C} {lo Q} {hubiese V} {hecho V} {Santa R} {Isabel R} {de P} {Hungría R} {. O}	O	""	""
disco010t_0183_annot	9	{Es V} {gloria N} {de P} {la D} {estirpe N} {la D} {que Q} {le Q} {dio V} {su D} {pecho N}	O	""	""
disco010t_0183_annot	10	{a P} {aquel D} {hambriento G} {niño N} {que Q} {acaso A} {sentiría V}	B	"sirrem_verb_adv"	"pp11"
disco010t_0183_annot	11	{más A} {tarde A} {un D} {misterioso G} {dinástico N} {derecho G} {; O}	I	"sirrem_verb_adv"	"pp11"
disco010t_0183_annot	12	{y C} {es V} {gloria N} {de P} {la D} {estirpe N} {, O} {porque C} {es V} {amor N} {fecundo G}	O	""	""
disco010t_0183_annot	13	{con P} {que Q} {la D} {reina N} {al P} {niño N} {le Q} {dio V} {su D} {seno N} {un D} {día N} {, O}	O	""	""
disco010t_0183_annot	14	{¡ O} {fue V} {el D} {mismo Q} {con P} {que C} {España R} {le Q} {dio V} {su D} {seno N} {a P} {un D} {mundo N} {! O}	O	""	""
disco010t_0184_annot	1	{Enorme G} {tronco N} {que Q} {arrastró V} {la D} {ola N} {, O}	O	""	""
disco010t_0184_annot	2	{yace V} {el D} {caimán N} {varado G} {en P} {la D} {ribera N} {; O}	O	""	""
disco010t_0184_annot	3	{espinazo N} {de P} {abrupta G} {cordillera N} {, O}	O	""	""
disco010t_0184_annot	4	{fauces N} {de P} {abismo N} {y C} {formidable G} {cola N} {. O}	O	""	""
disco010t_0184_annot	5	{El D} {sol N} {le Q} {envuelve V} {en P} {fúlgida G} {aureola N} {, O}	O	""	""
disco010t_0184_annot	6	{y C} {parece V} {lucir V} {cota N} {y C} {cimera N} {, O}	O	""	""
disco010t_0184_annot	7	{cual Q} {monstruo N} {de P} {metal N} {que Q} {reverbera V}	O	""	""
disco010t_0184_annot	8	{y C} {que C} {al P} {reverberar V} {se Q} {tornasola V} {. O}	O	""	""
disco010t_0184_annot	9	{Inmóvil R} {como C} {un D} {ídolo N} {sagrado G} {, O}	O	""	""
disco010t_0184_annot	10	{ceñido G} {en P} {mallas N} {de P} {compacto N} {acero N} {, O}	O	""	""
disco010t_0184_annot	11	{está V} {ante P} {el D} {agua N} {estático G} {y C} {sombrío G} {, O}	O	""	""
disco010t_0184_annot	12	{a P} {manera N} {de P} {un D} {príncipe N} {encantado G}	B	"oracional"	"cp01"
disco010t_0184_annot	13	{que Q} {vive V} {eternamente A} {prisionero N}	I	"oracional"	"cp01"
disco010t_0184_annot	14	{en P} {el D} {palacio N} {de P} {cristal N} {de P} {un D} {río N}	O	""	""
disco010t_0185_annot	1	{Soy V} {el D} {cantor N} {de P} {América R} {autóctono G} {y C} {salvaje G} {: O}	O	""	""
disco010t_0185_annot	2	{mi D} {lira N} {tiene V} {un D} {alma N} {, O} {mi D} {canto N} {un D} {ideal G}	B	"enlace_subj_verb"	"ld01"
disco010t_0185_annot	3	{Mi D} {verso N} {no A} {se Q} {mece V} {colgado G} {de P} {un D} {ramaje N}	IB	"enlace_subj_verb
sirrem_noun_prep"	"ld01
pd02"
disco010t_0185_annot	4	{con P} {un D} {vaivén N} {pausado G} {de P} {hamaca N} {tropical G}	I	"sirrem_noun_prep"	"pd02"
disco010t_0185_annot	5	{Cuando C} {me Q} {siento V} {inca G} {, O} {le Q} {rindo V} {vasallaje N}	O	""	""
disco010t_0185_annot	6	{al P} {Sol R} {, O} {que Q} {me Q} {da V} {el D} {centro N} {de P} {su D} {poder N} {real G} {; O}	O	""	""
disco010t_0185_annot	7	{cuando C} {me Q} {siento V} {hispano G} {y C} {evoco G} {el D} {coloniaje N} {, O}	O	""	""
disco010t_0185_annot	8	{parecen V} {mis D} {estrofas G} {trompetas N} {de P} {cristal N} {. O}	O	""	""
disco010t_0185_annot	9	{Mi D} {fantasía N} {viene V} {de P} {un D} {abolengo N} {moro G} {; O}	O	""	""
disco010t_0185_annot	10	{los D} {Andes R} {son V} {de P} {plata N} {, O} {pero C} {León R} {de P} {oro N}	O	""	""
disco010t_0185_annot	11	{Y C} {las D} {dos D} {castas N} {fundo V} {con P} {épico G} {fragor N} {. O}	O	""	""
disco010t_0185_annot	12	{La D} {sangre N} {es V} {española G} {e C} {incaico G} {es V} {el D} {latido N} {; O}	O	""	""
disco010t_0185_annot	13	{y C} {de P} {no A} {ser V} {Poeta R} {, O} {quizá A} {yo Q} {hubiera V} {sido V}	O	""	""
disco010t_0185_annot	14	{un D} {blanco N} {aventurero G} {o C} {un D} {indio N} {emperador N} {. O}	O	""	""
disco010t_0186_annot	1	{Al P} {despuntar V} {el D} {estrellado V} {coro N} {, O}	O	""	""
disco010t_0186_annot	2	{pósase V} {en P} {una D} {cúspide N} {nevada G} {: O}	O	""	""
disco010t_0186_annot	3	{lo Q} {envuelve V} {el D} {día N} {en P} {la D} {postrer G} {mirada N} {; O}	O	""	""
disco010t_0186_annot	4	{y C} {revienta N} {a P} {sus D} {pies N} {trueno N} {sonoro G} {. O}	O	""	""
disco010t_0186_annot	5	{Su D} {blanca G} {gola N} {es V} {imperial G} {decoro N} {; O}	O	""	""
disco010t_0186_annot	6	{su D} {ceño N} {varonil G} {, O} {pomo N} {de P} {espada N} {; O}	O	""	""
disco010t_0186_annot	7	{sus D} {garfios N} {, O} {siempre A} {actitud N} {airada G} {, O}	O	""	""
disco010t_0186_annot	8	{curvos N} {puñales G} {de P} {marfil N} {con P} {oro N} {. O}	O	""	""
disco010t_0186_annot	9	{Solitario G} {en P} {la D} {cúspide N} {se Q} {siente V} {: O}	O	""	""
disco010t_0186_annot	10	{en P} {las D} {pálidas N} {nieblas G} {se Q} {confunde V} {; O}	O	""	""
disco010t_0186_annot	11	{desvanece V} {el D} {fulgor N} {de P} {su D} {aureola N} {, O}	O	""	""
disco010t_0186_annot	12	{y C} {esfumándose V} {entonces A} {lentamente A} {, O}	O	""	""
disco010t_0186_annot	13	{se Q} {hunde V} {en P} {la D} {noche N} {como C} {el D} {alma N} {se Q} {hunde V}	O	""	""
disco010t_0186_annot	14	{en P} {la D} {meditación N} {cuando C} {está V} {sola G} {. O}	O	""	""
disco010t_0187_annot	1	{En P} {el D} {bosque N} {de P} {aromas N} {y C} {de P} {músicas N} {lleno G} {, O}	O	""	""
disco010t_0187_annot	2	{la D} {magnolia N} {florece V} {delicada G} {y C} {ligera G} {, O}	O	""	""
disco010t_0187_annot	3	{cual Q} {vellón N} {que Q} {en P} {la D} {zarzas N} {enredado V} {estuviera V}	O	""	""
disco010t_0187_annot	4	{o C} {cual Q} {copo N} {de P} {espuma N} {sobre P} {lago N} {sereno G}	O	""	""
disco010t_0187_annot	5	{Es V} {un D} {ánfora N} {digna G} {de P} {un D} {artífice N} {heleno G} {, O}	O	""	""
disco010t_0187_annot	6	{un D} {marmóreo N} {prodigio N} {de P} {la D} {clásica G} {era V} {; O}	O	""	""
disco010t_0187_annot	7	{y C} {destaca V} {su D} {fina G} {redondez N} {, O} {a P} {manera N}	B	"sirrem_noun_prep"	"pp06.1"
disco010t_0187_annot	8	{de P} {una D} {dama N} {que Q} {luce V} {descotado G} {su D} {seno N}	I	"sirrem_noun_prep"	"pp06.1"
